"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"SR Tendulkar (IND)","1989-2013",200,329,33,15921,"248*",53.78,51,68,14,"https://stats.espncricinfo.com/ci/engine/player/35320.html?class=1;template=results;type=batting;view=innings"
"JE Root (ENG)","2012-2026",163,298,25,13943,"262",51.07,41,66,15,"https://stats.espncricinfo.com/ci/engine/player/303669.html?class=1;template=results;type=batting;view=innings"
"RT Ponting (AUS)","1995-2012",168,287,29,13378,"257",51.85,41,62,17,"https://stats.espncricinfo.com/ci/engine/player/7133.html?class=1;template=results;type=batting;view=innings"
"JH Kallis (ICC/SA)","1995-2013",166,280,40,13289,"224",55.37,45,58,16,"https://stats.espncricinfo.com/ci/engine/player/45789.html?class=1;template=results;type=batting;view=innings"
"R Dravid (ICC/IND)","1996-2012",164,286,32,13288,"270",52.31,36,63,8,"https://stats.espncricinfo.com/ci/engine/player/28114.html?class=1;template=results;type=batting;view=innings"
"AN Cook (ENG)","2006-2018",161,291,16,12472,"294",45.35,33,57,9,"https://stats.espncricinfo.com/ci/engine/player/11728.html?class=1;template=results;type=batting;view=innings"
"KC Sangakkara (SL)","2000-2015",134,233,17,12400,"319",57.4,38,52,11,"https://stats.espncricinfo.com/ci/engine/player/50710.html?class=1;template=results;type=batting;view=innings"
"BC Lara (ICC/WI)","1990-2006",131,232,6,11953,"400*",52.88,34,48,17,"https://stats.espncricinfo.com/ci/engine/player/52337.html?class=1;template=results;type=batting;view=innings"
"S Chanderpaul (WI)","1994-2015",164,280,49,11867,"203*",51.37,30,66,15,"https://stats.espncricinfo.com/ci/engine/player/51469.html?class=1;template=results;type=batting;view=innings"
"DPMD Jayawardene (SL)","1997-2014",149,252,15,11814,"374",49.84,34,50,15,"https://stats.espncricinfo.com/ci/engine/player/49289.html?class=1;template=results;type=batting;view=innings"
"AR Border (AUS)","1978-1994",156,265,44,11174,"205",50.56,27,63,11,"https://stats.espncricinfo.com/ci/engine/player/4174.html?class=1;template=results;type=batting;view=innings"
"SR Waugh (AUS)","1985-2004",168,260,46,10927,"200",51.06,32,50,22,"https://stats.espncricinfo.com/ci/engine/player/8192.html?class=1;template=results;type=batting;view=innings"
"SPD Smith (AUS)","2010-2026",123,220,28,10763,"239",56.05,37,44,11,"https://stats.espncricinfo.com/ci/engine/player/267192.html?class=1;template=results;type=batting;view=innings"
"SM Gavaskar (IND)","1971-1987",125,214,16,10122,"236*",51.12,34,45,12,"https://stats.espncricinfo.com/ci/engine/player/28794.html?class=1;template=results;type=batting;view=innings"
"Younis Khan (PAK)","2000-2017",118,213,19,10099,"313",52.05,34,33,19,"https://stats.espncricinfo.com/ci/engine/player/43652.html?class=1;template=results;type=batting;view=innings"
"KS Williamson (NZ)","2010-2025",108,192,19,9461,"251",54.68,33,38,11,"https://stats.espncricinfo.com/ci/engine/player/277906.html?class=1;template=results;type=batting;view=innings"
"HM Amla (SA)","2004-2019",124,215,16,9282,"311*",46.64,28,41,13,"https://stats.espncricinfo.com/ci/engine/player/43906.html?class=1;template=results;type=batting;view=innings"
"GC Smith (ICC/SA)","2002-2014",117,205,13,9265,"277",48.25,27,38,11,"https://stats.espncricinfo.com/ci/engine/player/47270.html?class=1;template=results;type=batting;view=innings"
"V Kohli (IND)","2011-2025",123,210,13,9230,"254*",46.85,30,31,15,"https://stats.espncricinfo.com/ci/engine/player/253802.html?class=1;template=results;type=batting;view=innings"
"GA Gooch (ENG)","1975-1995",118,215,6,8900,"333",42.58,20,46,13,"https://stats.espncricinfo.com/ci/engine/player/13399.html?class=1;template=results;type=batting;view=innings"
"Javed Miandad (PAK)","1976-1993",124,189,21,8832,"280*",52.57,23,43,6,"https://stats.espncricinfo.com/ci/engine/player/40879.html?class=1;template=results;type=batting;view=innings"
"Inzamam-ul-Haq (ICC/PAK)","1992-2007",120,200,22,8830,"329",49.6,25,46,15,"https://stats.espncricinfo.com/ci/engine/player/40570.html?class=1;template=results;type=batting;view=innings"
"DA Warner (AUS)","2011-2024",112,205,8,8786,"335*",44.59,26,37,13,"https://stats.espncricinfo.com/ci/engine/player/219889.html?class=1;template=results;type=batting;view=innings"
"VVS Laxman (IND)","1996-2012",134,225,34,8781,"281",45.97,17,56,14,"https://stats.espncricinfo.com/ci/engine/player/30750.html?class=1;template=results;type=batting;view=innings"
"AB de Villiers (SA)","2004-2018",114,191,18,8765,"278*",50.66,22,46,8,"https://stats.espncricinfo.com/ci/engine/player/44936.html?class=1;template=results;type=batting;view=innings"
"MJ Clarke (AUS)","2004-2015",115,198,22,8643,"329*",49.1,28,27,9,"https://stats.espncricinfo.com/ci/engine/player/4578.html?class=1;template=results;type=batting;view=innings"
"ML Hayden (AUS)","1994-2009",103,184,14,8625,"380",50.73,30,29,14,"https://stats.espncricinfo.com/ci/engine/player/5616.html?class=1;template=results;type=batting;view=innings"
"V Sehwag (ICC/IND)","2001-2013",104,180,6,8586,"319",49.34,23,32,16,"https://stats.espncricinfo.com/ci/engine/player/35263.html?class=1;template=results;type=batting;view=innings"
"IVA Richards (WI)","1974-1991",121,182,12,8540,"291",50.23,24,45,10,"https://stats.espncricinfo.com/ci/engine/player/52812.html?class=1;template=results;type=batting;view=innings"
"AJ Stewart (ENG)","1990-2003",133,235,21,8463,"190",39.54,15,45,14,"https://stats.espncricinfo.com/ci/engine/player/20372.html?class=1;template=results;type=batting;view=innings"
"DI Gower (ENG)","1978-1992",117,204,18,8231,"215",44.25,18,39,7,"https://stats.espncricinfo.com/ci/engine/player/13418.html?class=1;template=results;type=batting;view=innings"
"AD Mathews (SL)","2009-2025",119,212,27,8214,"200*",44.4,16,45,6,"https://stats.espncricinfo.com/ci/engine/player/49764.html?class=1;template=results;type=batting;view=innings"
"KP Pietersen (ENG)","2005-2014",104,181,8,8181,"227",47.28,23,35,10,"https://stats.espncricinfo.com/ci/engine/player/19296.html?class=1;template=results;type=batting;view=innings"
"G Boycott (ENG)","1964-1982",108,193,23,8114,"246*",47.72,22,42,10,"https://stats.espncricinfo.com/ci/engine/player/9187.html?class=1;template=results;type=batting;view=innings"
"GS Sobers (WI)","1954-1974",93,160,21,8032,"365*",57.78,26,30,12,"https://stats.espncricinfo.com/ci/engine/player/52946.html?class=1;template=results;type=batting;view=innings"
"ME Waugh (AUS)","1991-2002",128,209,17,8029,"153*",41.81,20,47,19,"https://stats.espncricinfo.com/ci/engine/player/8189.html?class=1;template=results;type=batting;view=innings"
"MA Atherton (ENG)","1989-2001",115,212,7,7728,"185*",37.69,16,46,20,"https://stats.espncricinfo.com/ci/engine/player/8579.html?class=1;template=results;type=batting;view=innings"
"IR Bell (ENG)","2004-2015",118,205,24,7727,"235",42.69,22,46,14,"https://stats.espncricinfo.com/ci/engine/player/9062.html?class=1;template=results;type=batting;view=innings"
"JL Langer (AUS)","1993-2007",105,182,12,7696,"250",45.27,23,30,11,"https://stats.espncricinfo.com/ci/engine/player/6256.html?class=1;template=results;type=batting;view=innings"
"LRPL Taylor (NZ)","2007-2022",112,196,24,7683,"290",44.66,19,35,14,"https://stats.espncricinfo.com/ci/engine/player/38699.html?class=1;template=results;type=batting;view=innings"
"MC Cowdrey (ENG)","1954-1975",114,188,15,7624,"182",44.06,22,38,9,"https://stats.espncricinfo.com/ci/engine/player/10846.html?class=1;template=results;type=batting;view=innings"
"CG Greenidge (WI)","1974-1991",108,185,16,7558,"226",44.72,19,34,11,"https://stats.espncricinfo.com/ci/engine/player/51901.html?class=1;template=results;type=batting;view=innings"
"Mohammad Yousuf (PAK)","1998-2010",90,156,12,7530,"223",52.29,24,33,11,"https://stats.espncricinfo.com/ci/engine/player/43650.html?class=1;template=results;type=batting;view=innings"
"MA Taylor (AUS)","1989-1999",104,186,13,7525,"334*",43.49,19,40,5,"https://stats.espncricinfo.com/ci/engine/player/7924.html?class=1;template=results;type=batting;view=innings"
"CH Lloyd (WI)","1966-1985",110,175,14,7515,"242*",46.67,19,39,4,"https://stats.espncricinfo.com/ci/engine/player/52345.html?class=1;template=results;type=batting;view=innings"
"DL Haynes (WI)","1978-1994",116,202,25,7487,"184",42.29,18,39,10,"https://stats.espncricinfo.com/ci/engine/player/52047.html?class=1;template=results;type=batting;view=innings"
"DC Boon (AUS)","1984-1996",107,190,20,7422,"200",43.65,21,32,16,"https://stats.espncricinfo.com/ci/engine/player/4169.html?class=1;template=results;type=batting;view=innings"
"G Kirsten (SA)","1993-2004",101,176,15,7289,"275",45.27,21,34,13,"https://stats.espncricinfo.com/ci/engine/player/45813.html?class=1;template=results;type=batting;view=innings"
"WR Hammond (ENG)","1927-1947",85,140,16,7249,"336*",58.45,22,24,4,"https://stats.espncricinfo.com/ci/engine/player/14022.html?class=1;template=results;type=batting;view=innings"
"FDM Karunaratne (SL)","2012-2025",100,191,7,7222,"244",39.25,16,39,13,"https://stats.espncricinfo.com/ci/engine/player/227772.html?class=1;template=results;type=batting;view=innings"
